Yurt ismi,Statüsü,Enlem Koordinatı,Boylam Koordinatı,Açık Adres,Telefon Numarası,Kapasitesi,Minimum Ücret,Maksimum Ücret
kyk yoruk ali efe erkek ogrenci yurdu mudurlugu b blok,KYK,"38,448,501,349,678,700","27,227,882,254,780,000","mevlana, 1771/1. sk no:7, 35050 bornova/izmir
",0232 373 72 71,-,-,-
lt Rezidence Yükseköğretim Kız Öğrenci Yurdu,Özel Yurt,"3,827,490","2,713,344",Erzene Mah. 62 Sok. No: 14 Bornova/İzmir,(232) 374 77 35,66,-,-
MERIÇ ÖĞRETMEN YÜKSEKÖĞRETİM KIZ ÖĞRENCİ YURDU,Özel Yurt,"382,369,414,923,286","279,753,829,576,127",İnönü. Şehit Ali Yücel Cad. No:43. 35750 Ödemiş/İzmir,0 232 544 96 58,42,-,-
Meriç Kız Öğrenci Yurdu,Özel Yurt,"3,823,682,365,872,540","27,975,360,317,637,800","İnönü, Şehit Ali Yücel Cad. No:43, 35750 Ödemiş/İzmir",02325449658,42,-,-
Nilüfer Orta Öğretim Kız Öğrenci Yurdu,Özel Yurt,"38,518,892,156,568,100","2,719,974,518,845,670",MANAVKUYU MAH.SAKARYA CAD.NO:70 BAYRAKLI-İZMİR,2323484836,21,-,-
Orkun Yüksek Öğretim Erkek Öğrenci Yurdu,Özel Yurt,"382,750","271,322","Erzene Mah. 67 Sok. No: 15, Bornova/İzmir",(232) 343 62 98,72,-,-
ozel atahan kiz ogrenci yurdu,Özel Yurt,"3,844,551,657,654,190","27,202,671,406,892,900","kazimdirik, 364/11. sk. no:4, 35100 bornova/izmir
",0232 343 00 70,-,-,-
ozel bati plus kiz ogrenci yurdu,Özel Yurt,"384,638,474,111,175","2,722,674,842,038,440","erzene, 63. sk. no:28, 35040 bornova/izmir
",0532 550 76 94,-,-,-
ozel bornova villa yuksekogretim kiz ogrenci yurdu,Özel Yurt,"3,847,067,489,803,010","2,723,857,775,478,000","evka 3, kucukseyler anaokulu arkasi, erzene mahallesi, 115/2. sk. profesorler sitesi no:7, 35040 bornova/izmir
",0530 605 76 94,-,-,-
ozel bornova yuksekogrenim erkek ogrenci yurdu,Özel Yurt,"38,465,327,625,828,100","27,208,813,598,524,600","eski bornova stadyum migros, kazim dirik mh. 200 sk, karsisi no:2/3, 35515 bornova/izmir
",0507 145 25 50,-,-,-
ozel egelim yuksekogrenim kiz ogrenci yurdu,Özel Yurt,"3,845,907,881,247,300","2,720,207,130,689,290","kazimdirik, 259. sk. no: 12, 35100 bornova/izmir
",0232 348 84 06,35,-,-
ozel engin deniz erkek ogrenci yurdu,Özel Yurt,"38,468,713,401,913,300","27,223,545,095,254,500","erzene, 8. sk. no:46, 35040 bornova/izmir
",0232 339 12 12,140,-,-
ozel hedef yuksek ogrenim ogrenci yurdu,Özel Yurt,"384,641,217,187,254","27,227,676,110,599,200","erzene, 61. sk. no:12, 35040 bornova/izmir
",0232 388 58 56,39,-,-
ozel hisar yuksekogretim erkek ogrenci yurdu,Özel Yurt,"3,844,679,774,557,410","2,722,949,435,478,000","mevlana, 1722. sk. no:3, 35050 bornova/izmir
",0232 339 13 84,-,-,-
ozel karahan grup yuksek ogrenim erkek ogrenci yurdu,Özel Yurt,"3,846,020,201,004,400","27,205,639,608,746,000","kazimdirik, 215. sk. no: 7, 35040 bornova/izmir
",0554 315 52 43,-,-,-
ozel kilit residance yuksekogrenim kiz ogrenci yurdu,Özel Yurt,"38,463,646,112,219,200","27,227,175,935,729,100","erzene, 62. sk. no:14, 35040 bornova/izmir
",0232 388 39 12,72,-,-
ozel maya yuksek ogrenim erkek ogrenci yurdu,Özel Yurt,"3,846,624,970,370,440","2,721,585,668,546,930","ergene, 554. sk. no.32, 35050 bornova/izmir
",0552 345 59 08,-,-,-
ÖDEMİŞ - ÖZEL MERIÇ ÖĞRETMEN YÜKSEK ÖĞRETİM KIZ ÖĞRENCİ YURDU,Özel Yurt,"3,827,173,338,808,000","2,797,633,442,843,740",İNÖNÜ MAH.ŞEHIT ALI YÜCEL CAD.NO.43,2325449658,42,-,-
ÖDEMİŞ - ÖZEL SENA ORTAÖĞRETİM KIZ ÖĞRENCİ YURDU,Özel Yurt,"3,843,042,073,538,950","27,130,474,616,952,800",İNÖNÜ MAH.706 SOK.NO:1,2325455270,96,-,-
ÖDEMİŞ BELEDİYE BAŞKANLIĞI KIZ ÖĞRENCİ KONUKEVİ,Özel Yurt,"382,304,832,170,192","27,975,133,243,913,900",Akıncılar Mah. Gül Sok. No:3 Ödemiş. İzmir,0 232 545 19 32,-,-,-
ÖDEMİŞ ÖZEL MENDEGÜME ORTAOKUL ERKEK ÖĞRENCİ YURDU ,Özel Yurt,"3,805,112,777,654,520","28,000,877,226,988,100",HAMAM MAH. MENDEGÜME SOK. NO: 289 /1/ ÖDEMİŞ/İZMİR,(543) 304 18 50,-,-,-
ÖDEMİŞ TİCARET ODASI ANADOLU LİSESİ ERKEK ÖĞRENCİ YURDU,Özel Yurt,"3,824,131,230,411,740","2,802,884,409,550,060","Küçükavulcuk Köyü Mevki Birgi Yolu, Ödemiş Merkez, Ödemiş, İzmir",0232 531 54 15,-,-,-
ÖDEMİŞ TİCARET ODASI ANADOLU LİSESİ KIZ ÖĞRENCİ YURDU,Vakıf,"3,824,131,230,411,740","2,802,884,409,550,060","Küçükavulcuk Köyü Mevki Birgi Yolu, Ödemiş Merkez, Ödemiş, İzmir",0232 531 54 15,-,-,-
Özel 80 İnci Yıl Ortaöğretim Erkek Öğrenci Yurdu,Özel Yurt,"382,336,276,852,447","27,976,923,911,360,400",Saraçoğlu Cad.Müftülük Sıtesı İzmir/Ödemiş,0232 544 05 53,104,-,-
Özel Ali Öztürk Ve Şehit Ahmet Kamil Özdemir Yükseköğrenim Erkek Öğrenci Yurdu,Özel Yurt,"3,819,434","2,645,574","Hacı İsa, Duygu Sk. No:2, 35430 Urla/İzmir",2327546260,33,-,-
Özel Armutlu Ortaöğrenim Erkek Öğrenci Yurdu,Özel Yurt,"3,840,681,914,474,650","27,540,561,361,371,000","Hürriyet, Çiçek Sk. No:4, 35737 Kemalpaşa/İzmir",(226) 531 24 99,18,-,-
Özel Atahan Kız Öğrenci Yurdu,Özel Yurt,"384,460,966,689,056","27,201,855,915,341,800",364/11. Sk. No:4 Kazım Dirik Mah. Bornova/İZMİR,0232 343 0070,-,-,-
Özel Bayraklı Ortaokul Erkek Öğrenci Yurdu,Özel Yurt,"3,846,733,302,206,810","27,167,503,369,390,500","Çiçek, 1631. Sk. No:47, 35540 Bayraklı/İzmir",02323417171,-,-,-
ÖZEL BEYLER YÜKSEKÖĞRETİM ERKEK ÖĞRENCİ YURDU,Özel Yurt,"3,837,823","2,718,199","Atatürk, 202/35. Sk. No:41, 35160 Buca/İzmir",0507 760 09 27,60,"60,000","80,000"
Özel Bornova Villa Kız Öğrenci Yurdu,Özel Yurt,38.47099409,27.23762289,"Evka 3, Küçükşeyler Anaokulu arkası, Erzene Mahallesi, 115/2. Sk. Profesörler Sitesi no:7, 35040 Bornova/İzmir",0530 605 76 94,-,"75,000","100,000"
Özel Bornova Yükseköğrenim Erkek Öğrenci Yurdu,Özel Yurt,"3,846,462,672,231,080","27,210,397,953,661,000",Kazım Dirik Mh. 200 Sk. No:2/3 (Bornova Stadı Arkası Migros Giriş Karşısı),0506 710 2650,-,-,-
